card_id	consequence_id	consequence_value_0	consequence_value_1
106	310	0	0
106	298	0	0
127	308	10	0
127	309	20	0
441	302	1	0
441	303	1	0
442	150	1	0
442	9	1	0
443	16	1	0
443	17	1	0
444	289	2	0
444	70	1	0
429	256	1	0
413	69	3	0
404	241	1	0
391	217	4	0
376	3	1	0
367	189	2	0
367	8	2	0
367	5	2	0
368	31	2	0
370	209	1	0
371	22	4	0
360	79	4	0
359	200	2	0
361	201	0	0
77	40	0	0
78	22	2	0
80	8	2	0
80	16	1	0
82	22	6	0
83	42	0	0
83	10	0	0
84	16	1	0
84	17	1	0
85	43	3	0
88	45	0	0
88	10	3	0
89	8	5	0
90	8	3	0
91	68	0	0
92	77	1	0
93	77	1	0
94	47	3	0
96	48	8	0
96	10	1	1
97	14	2	0
98	49	3	0
99	50	0	0
100	31	3	0
101	26	4	0
102	51	1	1
103	16	1	0
104	15	2	0
104	10	0	0
107	6	5	0
110	53	2	0
111	30	50	0
113	30	50	0
114	61	0	0
115	49	1	0
115	57	3	0
116	2	10	0
122	65	5	0
123	9	1	0
126	66	0	0
126	67	0	0
130	6	6	0
130	2	4	0
134	8	5	0
134	43	4	0
135	69	4	0
136	69	2	0
137	8	6	0
139	70	2	0
141	26	1	0
141	18	1	0
142	10	2	0
142	15	1	0
143	72	0	0
144	73	1	0
144	74	1	0
145	22	3	0
145	2	5	0
147	75	0	0
148	69	1	0
149	8	2	0
151	69	2	0
151	35	4	0
152	76	0	0
153	53	1	0
71	77	1	0
87	78	0	0
155	79	2	0
156	79	5	0
157	10	0	0
157	79	6	0
158	14	3	0
158	79	4	0
159	79	3	0
160	79	3	0
161	10	0	0
161	79	3	0
162	22	7	0
162	79	3	0
80	17	1	0
166	2	6	0
167	8	5	0
168	79	3	0
169	22	2	0
170	81	0	0
171	2	3	0
174	30	3	0
177	88	0	0
177	87	0	0
179	16	1	0
179	17	1	0
180	86	1	0
181	87	5	0
181	88	5	0
183	86	3	0
184	10	4	0
184	79	6	0
185	6	3	0
186	92	99	0
187	86	2	0
188	26	2	0
188	80	1	0
189	2	4	0
189	22	4	0
190	28	0	0
190	88	0	0
191	22	8	0
192	93	4	0
193	58	5	0
275	124	100	0
276	125	3	0
276	126	0	0
276	127	0	0
277	131	1	0
278	128	0	0
279	129	1	0
279	26	5	0
280	130	1	0
281	13	1	0
282	132	4	0
283	133	8	0
33	19	0	0
285	137	2	0
287	140	2	0
288	70	1	0
129	69	2	0
129	43	2	0
289	136	1	0
290	142	0	0
291	47	3	0
291	143	1	0
292	30	4	0
293	144	2	0
293	49	2	0
294	145	2	0
281	131	2	0
12	13	1	0
258	30	2	0
260	35	2	0
66	8	4	0
55	30	4	0
71	47	4	0
7	55	0	0
198	35	5	0
78	41	0	0
12	58	5	0
67	33	0	0
101	30	8	0
92	30	5	0
249	30	4	0
218	53	2	0
224	9	4	0
48	9	2	0
169	9	3	0
114	49	2	0
114	10	0	0
242	147	0	0
242	148	0	0
75	16	1	0
75	17	1	0
119	8	4	0
119	64	0	0
172	95	0	0
172	149	0	0
172	9	5	0
172	150	5	0
154	79	3	0
154	16	1	0
277	79	3	0
277	16	1	0
95	79	1	0
95	16	1	0
25	77	3	0
296	136	3	0
297	35	5	0
298	152	0	0
298	10	0	0
231	110	29	29
284	16	1	0
284	110	17	17
284	17	1	0
112	153	0	0
112	11	3	0
95	17	1	0
299	154	1	0
300	155	0	0
301	156	2	0
302	157	2	0
303	158	3	0
304	159	1	0
304	160	1	0
305	93	8	0
70	37	0	0
306	161	5	0
307	162	1	0
308	163	1	0
311	77	1	0
312	77	2	0
312	125	2	0
313	9	4	0
313	77	2	0
317	170	1	0
309	170	1	0
317	8	5	0
314	170	2	0
314	168	4	0
309	165	7	0
316	171	2	0
57	8	4	0
318	146	5	0
320	8	1	0
319	178	1	320
319	8	7	0
321	77	1	0
324	174	4	0
325	182	3	320
325	5	3	0
326	8	4	0
327	70	1	0
328	175	3	0
329	178	1	320
329	8	4	0
329	110	329	329
193	10	0	0
194	8	1	0
194	16	1	0
195	6	6	0
195	8	6	0
196	94	0	0
196	95	0	0
197	49	2	0
197	57	2	0
198	77	1	0
199	96	0	0
200	97	0	0
201	98	5	0
203	2	6	0
204	99	0	0
205	26	2	0
205	16	1	0
206	100	0	0
207	59	1	3
207	101	0	0
208	102	0	0
208	80	1	0
209	103	1	0
211	104	0	0
212	11	5	0
214	14	4	0
214	9	3	0
215	105	3	0
216	70	2	0
216	43	2	0
218	31	4	0
219	87	0	0
220	30	100	0
220	31	6	0
221	106	0	0
222	107	0	0
222	37	0	0
223	59	3	6
223	31	4	0
224	31	3	0
9	108	0	0
232	109	0	0
140	122	0	0
32	123	0	0
32	21	0	0
268	135	3	0
269	136	3	0
154	134	1	0
233	8	8	0
234	79	3	0
235	3	8	0
238	111	0	0
241	88	0	0
241	8	6	0
243	114	4	0
244	57	3	0
244	115	3	0
245	30	2	0
246	6	5	0
246	43	3	0
247	22	1	0
249	22	2	0
250	2	6	0
251	9	4	0
251	10	0	0
252	53	1	0
253	117	0	0
254	60	2	0
255	9	2	0
